Deutsch,Französisch,group
sammeln,collectionner,Parcours 3.1/1
eine Sammlung,une collection,Parcours 3.1/1
ein Buchstabe,une letter,Parcours 3.1/1
ein Wort,un mot,Parcours 3.1/1
ein Monster,un monstre,Parcours 3.1/1
essen,manger,Parcours 3.1/1
sprechen,parler,Parcours 3.1/1
einander verstehen,se comprendre,Parcours 3.1/1
ein Alphabet,un alphabet,Parcours 3.1/1
kitzeln,chatouiller,Parcours 3.1/1
eine Maus,une souris,Parcours 3.1/1
erfinden,inventer,Parcours 3.1/1
eine Fee,une fee,Parcours 3.1/1
eine Tasse,une tasse,Parcours 3.1/1
ein Foto,une photo,Parcours 3.1/1
ein Pirat,une pirate,Parcours 3.1/1
ein Ball,un ballon,Parcours 3.1/1
ein Ballon,un ballon,Parcours 3.1/1
ein Helikopter,une hélicoptère,Parcours 3.1/1
ein Dessert,un dessert,Parcours 3.1/1
eine Fee,une fee,Parcours 3.1/2
eine Tasse,une tasse,Parcours 3.1/2
ein Foto,une photo,Parcours 3.1/2
ein Pirat,une pirate,Parcours 3.1/2
ein Ball,un ballon,Parcours 3.1/2
ein Ballon,un ballon,Parcours 3.1/2
ein Helikopter,une hélicoptère,Parcours 3.1/2
ein Dessert,un dessert,Parcours 3.1/2
